"gene","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"GZMK","OK",0,160.302875709574,0.303969558121966,"GZMK",0
"GZMA","OK",0,99.8362350616892,0.189303609450783,"GZMA",0
"IL6ST","OK",0,59.5740510962192,0.112941094539398,"IL6ST",0
"MAST4","OK",0,75.9739558250454,0.14403217434513,"MAST4",0
"PIK3R1","OK",0,91.20234405155,0.172932121324289,"PIK3R1",0
"ENC1","OK",0,59.3390095630108,0.112493834485109,"ENC1",0
"F2R","OK",0,64.7168110816376,0.122696629752748,"F2R",0
"SERINC5","OK",0,68.1659739966967,0.129233607349539,"SERINC5",0
"RPS23","OK",0,158.383095893298,0.300259705940658,"RPS23",0
"ELL2","OK",0,55.835078883344,0.105855206598294,"ELL2",0
"EFNA5","OK",0,75.6002351352933,0.143300987690457,"EFNA5",0
"FER","OK",0,46.2537907974754,0.0876753889302426,"FER",0
"CAMK4","OK",0,117.600033812925,0.222999789960615,"CAMK4",0
"TNFAIP8","OK",0,65.5310327863985,0.124244400936706,"TNFAIP8",0
"IRF1-AS1","OK",0,50.4898694520464,0.0957169925116715,"IRF1-AS1",0
"IRF1","OK",0,88.3393470011694,0.167502091705811,"IRF1",0
"TCF7","OK",0,107.097939991235,0.203081523013632,"TCF7",0
"EGR1","OK",0,55.4053054988985,0.104990900519133,"EGR1",0
"CYSTM1","OK",0,44.1969687665554,0.0837831005513935,"CYSTM1",0
"NDFIP1","OK",0,66.1901401003668,0.125495371284005,"NDFIP1",0
"ARHGAP26","OK",0,40.474345253449,0.0767226034107668,"ARHGAP26",0
"NR3C1","OK",0,69.3216763665946,0.131430347937449,"NR3C1",0
"PPP2R2B","OK",0,46.2227374815377,0.0876167766480893,"PPP2R2B",0
"ADRB2","OK",0,40.6949216485628,0.0771321282333496,"ADRB2",0
"CD74","OK",0,92.0300596658404,0.174496312130941,"CD74",0
"RPS14","OK",0,107.876888323953,0.204449550033331,"RPS14",0
"HAVCR2","OK",0,71.2858747727154,0.135124111051644,"HAVCR2",0
"LCP2","OK",0,52.4353199477305,0.099407759745003,"LCP2",0
"NPM1","OK",0,44.2165736916897,0.0838108133789521,"NPM1",0
"DUSP1","OK",0,60.5912508334441,0.11487510803691,"DUSP1",0
"SQSTM1","OK",0,49.625901865867,0.0940769194079946,"SQSTM1",0
